"target","latin","match"
"AP",NA,NA
"Apia",NA,NA
"Apiaceae",NA,NA
"Apiaceae.undiff",NA,NA
"Apiaceae.undiff.",NA,NA
"Apocynum",NA,NA
"Aquafoliaceae",NA,NA
"aquatics",NA,NA
"Aquifoliaceae",NA,NA
"Arabis",NA,NA
"Araliaceae",NA,NA
"Arceothobium",NA,NA
"Arceuth",NA,NA
"Arceuthobium",NA,NA
"Arenaria",NA,NA
"Art",NA,NA
"Artemesia",NA,NA
"Artemisia",NA,NA
"Asplenium",NA,NA
"Asplenium.t",NA,NA
"Asplenium.t.",NA,NA
"Asplenium.type",NA,NA
"Astae.Lu",NA,NA
"Astae.Tu",NA,NA
"Asteraceae",NA,NA
"Asteraceae.undiff.",NA,NA
"Asteroideae",NA,NA
"Asteroideae.undiff.",NA,NA
"Athryrium.Filex.Femina",NA,NA
"Athyrium",NA,NA
"Athyrium.t.",NA,NA
"Athyrium.type",NA,NA
"Avena.Triticum",NA,NA
"Balsaminaceae",NA,NA
"Betula","Betula","Birch"
"Betula...small","Betula","Birch"
"Betula..shrub.","Betula","Birch"
"Betula..small.","Betula","Birch"
"Betula..tree.","Betula","Birch"
"Betula.mean.pollen.grain.diameter","Betula","Birch"
"Betula.small","Betula","Birch"
"Betula.undiff.","Betula","Birch"
"Betulaceae","Betula","Birch"
"Betulaceae.Myricaceae.undiff.","Betula","Birch"
"Betulaceae.undiff.","Betula","Birch"
"Betulacee","Betula","Birch"
"Betuloid",NA,NA
"Bistorta.bistortoides.type",NA,NA
"Bistorta.vivipara",NA,NA
"Boraginaceae",NA,NA
"Botrichium.t.",NA,NA
"Botrychium",NA,NA
"Botrychium.multifidum",NA,NA
"Botrychium.sp.",NA,NA
"Botrychium.undiff.",NA,NA
"Botryococcus",NA,NA
"Brasenia",NA,NA
"Brasenia.schreberi",NA,NA
"Brassenia",NA,NA
"Brassicaceae",NA,NA
"Brassicaceae.type",NA,NA
"Broken",NA,NA
"Bryophyta.undiff.",NA,NA
"Bryopsida",NA,NA
"C.P",NA,NA
"Cabomba",NA,NA
"Cal.age",NA,NA
"cal.age.linear",NA,NA
"Calla.palustris",NA,NA
"Caltha",NA,NA
"Caltha.palustris",NA,NA
"Caltha.type",NA,NA
"Campanula",NA,NA
"Campanulaceae",NA,NA
"Cannabaceae",NA,NA
"Cannabaceae.sensu.stricto",NA,NA
"Cannabis",NA,NA
"Cannabis.Humulis",NA,NA
"Cannabis.sativa",NA,NA
"Cannabis.T.",NA,NA
"Caprifoliaceae",NA,NA
"Caprifoliaceae.sensu.lato",NA,NA
"Caprifoliaceae.sensu.lato.undiff.",NA,NA
"Carex",NA,NA
"Carya","Carya","Hickory"
"Carya.ovata","Carya","Hickory"
"Caryophylaceaae",NA,NA
"Caryophyllaceae",NA,NA
"Caryophyllaceae.undiff.",NA,NA
"Castanea","Castanea","Chestnut"
"Castanea.dentata","Castanea","Chestnut"
"Ceanothus",NA,NA
"Ceanothus.t.",NA,NA
"Celtis","Deciduae","Other hardwood"
"Celtis.occidentalis","Deciduae","Other hardwood"
"Cephalanathus",NA,NA
"Cephalanthus",NA,NA
"Cerastium.type",NA,NA
"Cerea",NA,NA
"Cereal",NA,NA
"cf..Arisaema",NA,NA
"cf..Cistaceae",NA,NA
"cf..Cucurbitae",NA,NA
"cf..Dalea",NA,NA
"cf..Elaeagnaceae",NA,NA
"cf..Gentiana",NA,NA
"cf..Hypericum",NA,NA
"cf..Osmanthus",NA,NA
"cf..Oxalis",NA,NA
"cf..Parthenocissus",NA,NA
"cf..Pedicularis",NA,NA
"cf..Podophyllum",NA,NA
"cf..Primula",NA,NA
"cf..Rhus","Deciduae","Other hardwood"
"cf..Ribes",NA,NA
"cf..Rubiaceae",NA,NA
"cf..Scheuchzeria.palustris",NA,NA
"cf..Selaginella",NA,NA
"cf..Sphagnum",NA,NA
"cf..Verbascum",NA,NA
"cf..Viola.sagittata",NA,NA
"cf..Vitis",NA,NA
"cf..Zamia",NA,NA
"cf.Equisetum",NA,NA
"cf.Hippuris",NA,NA
"cf.Hypericum",NA,NA
"cf.Rhexia",NA,NA
"cf.Taxus",NA,NA
"Ch.Am",NA,NA
"Chamaecyparis",NA,NA
"Chamaedaphne",NA,NA
"Charcoal.count",NA,NA
"Charcoal.Pollen",NA,NA
"Cheilanthes",NA,NA
"Cheno.Am",NA,NA
"Cheno.Ams",NA,NA
"ChenoAm",NA,NA
"Chenopodiaceae",NA,NA
"Chenopodiaceae.sensu.stricto",NA,NA
"Chenopodium.am",NA,NA
"Chenopodium.type",NA,NA
"Cichorioideae",NA,NA
"Circa",NA,NA
"Cistaceae",NA,NA
"Cladium",NA,NA
"Cladium.type",NA,NA
"Clethra",NA,NA
"Clethra.t.",NA,NA
"Comarum.palustre",NA,NA
"Combretaceae.T.",NA,NA
"Commelinaceae",NA,NA
"Comp",NA,NA
"Compositae",NA,NA
"Comptonia",NA,NA
"Coniferae.undiff.",NA,NA
"Coptis",NA,NA
"Cornus",NA,NA
"Cornus.canadensis",NA,NA
"Cornus.racemosa",NA,NA
"Cornus.racemosa.t.",NA,NA
"Cornus.sanquinaria.t.",NA,NA
"Cornus.sericea",NA,NA
"Cornus.sericea.type",NA,NA
"Cornus.stolon.t.",NA,NA
"Cornus.undiff.",NA,NA
"Corroded",NA,NA
"Corydalis..",NA,NA
"Corylaceae",NA,NA
"Corylas",NA,NA
"Corylus","Deciduae","Other hardwood"
"Corylus.cornuta","Deciduae","Other hardwood"
"Corylus.Myrica","Deciduae","Other hardwood"
"Cruciferae",NA,NA
"Crumpled",NA,NA
"Cuppressaceae",NA,NA
"Cupressaceae",NA,NA
"Cupressaceae.Taxaceae",NA,NA
"Cupressaceae.undiff.",NA,NA
"Cyclachaena.xanthiifolia",NA,NA
"Cyclachaena.xanthiifolia.type",NA,NA
"Cyperaceae",NA,NA
"Cyperaceae.undiff.",NA,NA
"Cystopteris",NA,NA
"Cystopteris.type",NA,NA
"Dalea",NA,NA
"Dalea.candida.t.",NA,NA
"dataset.id",NA,NA
"Decodon.verticillatus",NA,NA
"Degraded",NA,NA
"Dennstaeditia",NA,NA
"Dennstaedtia",NA,NA
"Dennstaedtia.type",NA,NA
"Denstaedtia",NA,NA
"depth",NA,NA
"Dicentra",NA,NA
"Dicranum",NA,NA
"Diospyros.type",NA,NA
"Diphasiastrum.complanatum",NA,NA
"Diphasiastrum.complanatum.type",NA,NA
"Drosera",NA,NA
"Dryas",NA,NA
"Dryas.type",NA,NA
"Dryopteris",NA,NA
"Dryopteris.carthusiana.type",NA,NA
"Dryopteris.fragrans.type",NA,NA
"Dryopteris.spinosa.type",NA,NA
"Dryopteris.t.",NA,NA
"Dryopteris.thelypteris",NA,NA
"Dryopteris.type",NA,NA
"Elaeagnus",NA,NA
"Elaeagnus.commutata",NA,NA
"Eleocharis",NA,NA
"Empetrum",NA,NA
"Ephedra",NA,NA
"Ephedra.1",NA,NA
"Epilobium",NA,NA
"Epilobium.lantifolium",NA,NA
"Epilobium.type",NA,NA
"Equise",NA,NA
"Equisetum",NA,NA
"Ercae",NA,NA
"Ericaceae",NA,NA
"Ericaceae.undiff",NA,NA
"Ericaceae.undiff.",NA,NA
"Eriocaulon",NA,NA
"Eriocaulon.sp.",NA,NA
"Eriogonum",NA,NA
"Eupatorium.type",NA,NA
"Euphorbiaceae",NA,NA
"Exotic",NA,NA
"Exotic..charcoal.",NA,NA
"Exotic..pollen.",NA,NA
"Exotic.added",NA,NA
"exotic.conc",NA,NA
"Exotic.count",NA,NA
"Exotic.counted",NA,NA
"Exotic.spike",NA,NA
"Fabaceae",NA,NA
"Fabaceae.undiff.",NA,NA
"Fagaceae",NA,NA
"Fagopyron",NA,NA
"Fagopyrum",NA,NA
"Fagus","Fagus","Beech"
"Fagus.grandifolia","Fagus","Beech"
"ferns",NA,NA
"Filipendula.sp.",NA,NA
"Fraxinus","Fraxinus","Ash"
"Fraxinus..tetracolpate.","Fraxinus","Ash"
"Fraxinus..tricolpate.","Fraxinus","Ash"
"Fraxinus.americana","Fraxinus","Ash"
"Fraxinus.nigra","Fraxinus","Ash"
"Fraxinus.Nigra","Fraxinus","Ash"
"Fraxinus.nigra.t.","Fraxinus","Ash"
"Fraxinus.nigra.type","Fraxinus","Ash"
"Fraxinus.penn.am","Fraxinus","Ash"
"Fraxinus.Penn.am","Fraxinus","Ash"
"Fraxinus.penn.t.","Fraxinus","Ash"
"Fraxinus.pennsylvanica","Fraxinus","Ash"
"Fraxinus.pennsylvanica.F..americana.type","Fraxinus","Ash"
"Fraxinus.pennsylvanica.type","Fraxinus","Ash"
"Fraxinus.sp","Fraxinus","Ash"
"Fraxinus.sp.","Fraxinus","Ash"
"Fraxinus.ud","Fraxinus","Ash"
"Fraxinus.undiff","Fraxinus","Ash"
"Fraxinus.undiff.","Fraxinus","Ash"
"Fraxinus.undifferentiated","Fraxinus","Ash"
"Fraxinuspe.t","Fraxinus","Ash"
"Fungi",NA,NA
"Galium",NA,NA
"Galium.type",NA,NA
"Gentiana",NA,NA
"Gentianaceae",NA,NA
"Geraniaceae",NA,NA
"Geranium",NA,NA
"Geranium.sp.",NA,NA
"Geum",NA,NA
"Geum.type",NA,NA
"Gleditsia",NA,NA
"Glomus",NA,NA
"Graminae",NA,NA
"Gymnocarpium",NA,NA
"Gymnocarpium.",NA,NA
"Gymnocarpium.t.",NA,NA
"Haloragaceae",NA,NA
"Hamamelidaceae",NA,NA
"Hamamelis",NA,NA
"Hamamelis.virginiana",NA,NA
"Hammamelis",NA,NA
"Helianthaceae",NA,NA
"Helianthemum",NA,NA
"Helianthus",NA,NA
"Herb.pollen",NA,NA
"herbs",NA,NA
"Hernaria.t.",NA,NA
"Heteranthera",NA,NA
"Hidden",NA,NA
"Hippuris.t.",NA,NA
"Hippuris.vulgaris",NA,NA
"Hudsonia",NA,NA
"Humulis.Cannabis",NA,NA
"Humulus",NA,NA
"Humulus.Cannabis",NA,NA
"Humulus.Cannabis.sativa",NA,NA
"Huperzia.lucidula",NA,NA
"Huperzia.selago",NA,NA
"Huperzia.selago.H..lucidula",NA,NA
"Hydrocotyle",NA,NA
"Hydrocotyle.t.",NA,NA
"Hypericum",NA,NA
"Hypericum.t.",NA,NA
"Ilex",NA,NA
"Ilex.Nemopanthus",NA,NA
"Impatiens",NA,NA
"Impatiens.capensis",NA,NA
"ind",NA,NA
"Indet..Broken",NA,NA
"Indet..Coroded",NA,NA
"Indet..crumpled",NA,NA
"Indet..Degraded",NA,NA
"Indet..Obscured",NA,NA
"Indet.Crumpled",NA,NA
"indeterminable",NA,NA
"Indeterminable",NA,NA
"indeterminable.and.unknown",NA,NA
"indeterminable.and.unknown.1",NA,NA
"Indeterminable.undiff.",NA,NA
"Indetermined.broken",NA,NA
"Indetermined.coroded",NA,NA
"Indetermined.crumpled",NA,NA
"Indetermined.obscured",NA,NA
"Iridaceae",NA,NA
"Iris",NA,NA
"Iso",NA,NA
"Isoetes",NA,NA
"Isoëtes",NA,NA
"Itea",NA,NA
"Iva",NA,NA
"Iva.annua",NA,NA
"Iva.annua.type",NA,NA
"Iva.ciliata",NA,NA
"Iva.ciliata.t.",NA,NA
"Iva.sp.",NA,NA
"Iva.undiff.",NA,NA
"Juglans","Deciduae","Other hardwood"
"Juglans.c","Deciduae","Other hardwood"
"Juglans.cinera","Deciduae","Other hardwood"
"Juglans.cinera.t.","Deciduae","Other hardwood"
"Juglans.cinerea","Deciduae","Other hardwood"
"Juglans.Cinerea","Deciduae","Other hardwood"
"Juglans.n","Deciduae","Other hardwood"
"Juglans.nigra","Deciduae","Other hardwood"
"Juglans.nigra.t.","Deciduae","Other hardwood"
"Juglans.undiff.","Deciduae","Other hardwood"
"Juniperus",NA,NA
"Juniperus.Thuja",NA,NA
"Kalmia",NA,NA
"Kalmia.t..ER",NA,NA
"L..annotinum",NA,NA
"L..complanatum",NA,NA
"L..inundatum",NA,NA
"L..inundatum.t.",NA,NA
"L..lucidulum",NA,NA
"L..obscurum.t.",NA,NA
"L..obscurum.t..",NA,NA
"L..selago.t.",NA,NA
"Lamiaceae",NA,NA
"Lamiaceae.1",NA,NA
"Lamiaceae.undiff.",NA,NA
"Larix","Larix","Tamarack"
"Larix.1","Larix","Tamarack"
"Larix.laricina","Larix","Tamarack"
"lat",NA,NA
"Ledum.Chamydaphnea",NA,NA
"Ledum.t.",NA,NA
"Lemna",NA,NA
"Lemna..t.",NA,NA
"Lemnoideae",NA,NA
"Liguliflorae",NA,NA
"Liliaceae",NA,NA
"Liliaceae.undiff.",NA,NA
"Linnaea.borealis",NA,NA
"Linum",NA,NA
"Liquidambar",NA,NA
"Liquidambar.styraciflua",NA,NA
"Liriodendron",NA,NA
"Liriodendron.tulipifera",NA,NA
"Liriodendron.type",NA,NA
"Littorella",NA,NA
"Lobelia.type",NA,NA
"lon",NA,NA
"Lonicera",NA,NA
"Ludwigia.cf..palustris",NA,NA
"Lyc.",NA,NA
"Lyc..annotinum",NA,NA
"Lyc..clavatum",NA,NA
"Lyc..Clavatum",NA,NA
"Lyc..Inundatum",NA,NA
"Lyc..lucidulum",NA,NA
"Lyc..Lucidulum",NA,NA
"Lyc.a",NA,NA
"Lyc.cl",NA,NA
"Lycae.ud",NA,NA
"Lyco.markers",NA,NA
"Lycopod.cor.SA",NA,NA
"Lycopodiaceae",NA,NA
"Lycopodiaceae.undiff.",NA,NA
"Lycopodiella.inundata",NA,NA
"Lycopodium",NA,NA
"Lycopodium.annotinum",NA,NA
"Lycopodium.annotinum.type",NA,NA
"Lycopodium.clavatum",NA,NA
"Lycopodium.complanatum",NA,NA
"Lycopodium.inunadatum",NA,NA
"Lycopodium.inundatum",NA,NA
"Lycopodium.inundatum.T.",NA,NA
"Lycopodium.lucidulum",NA,NA
"Lycopodium.lucidulum.t.",NA,NA
"Lycopodium.lucidum.t.",NA,NA
"Lycopodium.obscurum",NA,NA
"Lycopodium.sp",NA,NA
"Lycopodium.sp.",NA,NA
"Lycopodium.sp..",NA,NA
"Lycopodium.type",NA,NA
"Lycopodium.undiff.",NA,NA
"Lycopodium.undifferentiated",NA,NA
"Lycopus",NA,NA
"Lycopus.type",NA,NA
"Lythrum",NA,NA
"Magnolia","Deciduae","Other hardwood"
"Magnolia.sp.","Deciduae","Other hardwood"
"Maianthemum",NA,NA
"Malvaceae",NA,NA
"Matteuccia.struthiopteris",NA,NA
"Melampyrum",NA,NA
"Melampyrum.type",NA,NA
"Menispermum",NA,NA
"Mentha",NA,NA
"Mentha.arvensis",NA,NA
"Menyanthes",NA,NA
"Menyanthes.t.",NA,NA
"Menyanthes.trifoliata",NA,NA
"Micranthes.cf..M..punctata",NA,NA
"Micranthes.cf..M..stellaris",NA,NA
"Mitchella.repens",NA,NA
"Monolete.spore",NA,NA
"Monotropa",NA,NA
"Moraceae","Deciduae","Other hardwood"
"Moraceae.undiff.","Deciduae","Other hardwood"
"Moraceae.Urtica","Deciduae","Other hardwood"
"Morus","Deciduae","Other hardwood"
"Myrica",NA,NA
"Myrica.Comptonia",NA,NA
"Myrica.Comptonia.peregrina",NA,NA
"Myrica.gale",NA,NA
"Myricaceae",NA,NA
"Myriophyllum",NA,NA
"Myriophyllum.alterniflorum",NA,NA
"Myriophyllum.exalbescens.type",NA,NA
"Myriophyllum.sibiricum.type",NA,NA
"Myrtaceae.t.",NA,NA
"Nemopanthus",NA,NA
"Non.conifer",NA,NA
"Non.conifer..ER..",NA,NA
"Nuphar",NA,NA
"Nupher",NA,NA
"Nymphaea",NA,NA
"Nymphaeaceae",NA,NA
"Nymphaeaceae.undiff.",NA,NA
"Nymphoidaea",NA,NA
"Nymphoides",NA,NA
"Nymphoides.cordata",NA,NA
"Nyssa","Deciduae","Other hardwood"
"Obscured",NA,NA
"Oenothera",NA,NA
"Oenotheraceae",NA,NA
"Onagraceae",NA,NA
"Onagraceae.undiff.",NA,NA
"Ononis.type",NA,NA
"Ophioglossaceae",NA,NA
"Ophioglossum",NA,NA
"Ophioglossum.type",NA,NA
"Orchidaceae",NA,NA
"Osmunda",NA,NA
"Osmunda.cinamomea",NA,NA
"Osmunda.regalis.O..claytoniana",NA,NA
"Osmunda.regalis.type",NA,NA
"Osmunda.spp.",NA,NA
"Osmundaceae",NA,NA
"Osmundaceae.undiff.",NA,NA
"Osmundastrum.cinnamomeum",NA,NA
"Ostrya","Deciduae","Other hardwood"
"Ostrya.carpinus","Deciduae","Other hardwood"
"Ostrya.Carpinus","Deciduae","Other hardwood"
"Osu",NA,NA
"Other.Aquatics",NA,NA
"other.Ericaceae",NA,NA
"Other.herbs",NA,NA
"Other.Pterid",NA,NA
"Other.shrubs",NA,NA
"Other.trees",NA,NA
"Oxalidaceae",NA,NA
"Oxyria.digyna",NA,NA
"Parnassia",NA,NA
"Paronychia.sp",NA,NA
"Paronychia.t.",NA,NA
"Parthenocissus",NA,NA
"Parthenocissus.t.",NA,NA
"Pediastrum",NA,NA
"Pedicularis",NA,NA
"Persicaria.amphibia",NA,NA
"Persicaria.lapathifolia",NA,NA
"Persicaria.lapathifolia.type",NA,NA
"Petalostemum.purpereum.t.",NA,NA
"Phlox",NA,NA
"Physocarpus",NA,NA
"Picea","Picea","Spruce"
"Picea.1","Picea","Spruce"
"Picea.2","Picea","Spruce"
"Picea.3","Picea","Spruce"
"Picea.4","Picea","Spruce"
"Picea.glauca","Picea","Spruce"
"Picea.halfs","Picea","Spruce"
"Picea.indet.","Picea","Spruce"
"Picea.mariana","Picea","Spruce"
"Picea.mariana.t.","Picea","Spruce"
"Picea.mariana.type","Picea","Spruce"
"Picea.rubens.mariana","Picea","Spruce"
"Picea.rubens.undiff","Picea","Spruce"
"Picea.rubens.undiff.","Picea","Spruce"
"Picea.undiff","Picea","Spruce"
"Picea.Undiff","Picea","Spruce"
"Picea.undiff.","Picea","Spruce"
"Picea.undiff..","Picea","Spruce"
"Pinaceae.undiff.",NA,NA
"Pinguicula.t.",NA,NA
"Pinus","Pinus","Pine"
"Pinus.1","Pinus","Pine"
"Pinus.2","Pinus","Pine"
"Pinus.banksiana.P..resinosa","Pinus","Pine"
"Pinus.banksiana.t.","Pinus","Pine"
"Pinus.diplox","Pinus","Pine"
"Pinus.Diplox","Pinus","Pine"
"Pinus.diplox.t.","Pinus","Pine"
"Pinus.diploxylon","Pinus","Pine"
"Pinus.halfs","Pinus","Pine"
"Pinus.haplox","Pinus","Pine"
"Pinus.Haplox","Pinus","Pine"
"Pinus.haploxylon","Pinus","Pine"
"Pinus.indet","Pinus","Pine"
"Pinus.indet.","Pinus","Pine"
"Pinus.indeterm","Pinus","Pine"
"Pinus.indeterminable","Pinus","Pine"
"Pinus.resinosa.t.","Pinus","Pine"
"Pinus.rigida.t.","Pinus","Pine"
"Pinus.strobus","Pinus","Pine"
"Pinus.Strobus","Pinus","Pine"
"Pinus.subg..Pinus","Pinus","Pine"
"Pinus.subg..Pinus.undiff.","Pinus","Pine"
"Pinus.subg..strobus","Pinus","Pine"
"Pinus.subg..Strobus","Pinus","Pine"
"Pinus.subg..Strobus.undiff.","Pinus","Pine"
"Pinus.Subgenus.Pinus","Pinus","Pine"
"Pinus.Subgenus.Strobus","Pinus","Pine"
"Pinus.undiff","Pinus","Pine"
"Pinus.undiff.","Pinus","Pine"
"Pinus.Undiff.","Pinus","Pine"
"Pinus.undifferentiated","Pinus","Pine"
"Planera",NA,NA
"Plantage.Lancelata",NA,NA
"Plantago",NA,NA
"Plantago.lanceolata",NA,NA
"Plantago.lanceolata.type",NA,NA
"Plantago.major",NA,NA
"Plantago.majore",NA,NA
"Plantago.media",NA,NA
"Plantago.rigida.type",NA,NA
"Plantago.undiff.",NA,NA
"Platanus","Deciduae","Other hardwood"
"Platanus.occidentalis","Deciduae","Other hardwood"
"Plumbaginaceae",NA,NA
"Plypod",NA,NA
"Poaae",NA,NA
"Poaceae",NA,NA
"Poaceae..Cerealia.",NA,NA
"Poaceae..Cerealia..undiff.",NA,NA
"Poaceae.undiff.",NA,NA
"Polemoniaceae",NA,NA
"Polemonium",NA,NA
"Pollen.conc",NA,NA
"pollen.conc.cc",NA,NA
"Polygalaceae",NA,NA
"Polygola.sp.",NA,NA
"Polygonaceae",NA,NA
"Polygonaceae.undiff.",NA,NA
"Polygonella.sp.",NA,NA
"Polygonella.t.",NA,NA
"Polygonum",NA,NA
"Polygonum.amphibium.type",NA,NA
"Polygonum.aviculare..t",NA,NA
"Polygonum.aviculare..t.",NA,NA
"Polygonum.aviculare.type",NA,NA
"Polygonum.bist.",NA,NA
"Polygonum.bist..t.",NA,NA
"Polygonum.bistoides",NA,NA
"Polygonum.lapath.t.",NA,NA
"Polygonum.lapthifoliu.t.",NA,NA
"Polygonum.pers..T.",NA,NA
"Polygonum.persicaria.t.",NA,NA
"Polygonum.sensu.lato",NA,NA
"Polygonum.sensu.lato.undiff.",NA,NA
"Polypodiaceae",NA,NA
"Polypodiaceae.undiff.",NA,NA
"Polypodiophyta",NA,NA
"Polypodiophyta.undiff.",NA,NA
"Polypodium",NA,NA
"Polypodium.t.",NA,NA
"Polypodium.type",NA,NA
"Polypodium.virginianum",NA,NA
"Pontedaria",NA,NA
"Pontederia",NA,NA
"Pontederia.sp.",NA,NA
"Pontederia.t.",NA,NA
"Pontederiaceae",NA,NA
"Populus","Populus","Poplar"
"Populus.balsamifera.type","Populus","Poplar"
"Populus.tremuloides","Populus","Poplar"
"Populus.tremuloides.type","Populus","Poplar"
"Populus.undiff.","Populus","Poplar"
"Portulacaceae",NA,NA
"Potamogeton",NA,NA
"Potamogeton.t.",NA,NA
"Potamogeton.Triglochin",NA,NA
"Potamogetonaceae",NA,NA
"Potentilla",NA,NA
"Potentilla.t.",NA,NA
"Potentilla.type",NA,NA
"Potomogeton",NA,NA
"preQuat",NA,NA
"PreQuat.",NA,NA
"PreQuaternary",NA,NA
"Primulaceae",NA,NA
"Prunella",NA,NA
"Prunus","Deciduae","Other hardwood"
"Prunus.cf..P..serotina","Deciduae","Other hardwood"
"Prunus.Pyrus","Deciduae","Other hardwood"
"Prunus.Sorbus","Deciduae","Other hardwood"
"Prunus.type","Deciduae","Other hardwood"
"Prunus.type.undiff.","Deciduae","Other hardwood"
"Ptelea.trifoliata.t.",NA,NA
"Pteridium",NA,NA
"Pteridium.aquilinum",NA,NA
"Pteridium.t.",NA,NA
"Pteridium.type",NA,NA
"Pteridophyta.undiff.",NA,NA
"pteridophytes",NA,NA
"Pterocarya",NA,NA
"Ptr.t",NA,NA
"Quercus","Quercus","Oak"
"Ranunculaceae",NA,NA
"Ranunculaceae.undiff.",NA,NA
"Ranunculus",NA,NA
"Ranunculus.acris.type",NA,NA
"Ranunculus.flabellaris",NA,NA
"Ranunculus.sp.",NA,NA
"Ranunculus.type.undiff.",NA,NA
"Rebus",NA,NA
"Rhamnaceae","Deciduae","Other hardwood"
"Rhamnaceae.Vitaceae","Deciduae","Other hardwood"
"Rhamnaceae.Vitaceae.undiff.","Deciduae","Other hardwood"
"Rhamnus","Deciduae","Other hardwood"
"Rhamnus.cathartica","Deciduae","Other hardwood"
"Rhamnus.Vitis","Deciduae","Other hardwood"
"Rhexia.t.",NA,NA
"Rhododendron",NA,NA
"Rhododendron.subsect..Ledum.Chamaedaphne.calyculata",NA,NA
"Rhus","Deciduae","Other hardwood"
"Rhus.sp..","Deciduae","Other hardwood"
"Rhus.typhina.type","Deciduae","Other hardwood"
"Ribes",NA,NA
"Rosa",NA,NA
"Rosaceae",NA,NA
"Rosaceae..Prunus.t..","Deciduae","Other hardwood"
"Rosaceae.undiff",NA,NA
"Rosaceae.undiff.",NA,NA
"Roseaceae",NA,NA
"Rubiaceae",NA,NA
"Rubiaceae.undiff.",NA,NA
"Rubus",NA,NA
"Rubus.cf..R..chamaemorus",NA,NA
"Rubus.ch",NA,NA
"Rubus.Chamaemorus",NA,NA
"Rubus.type",NA,NA
"Rum",NA,NA
"Rumex",NA,NA
"Rumex.acetosa.type",NA,NA
"Rumex.Oxyria.digyna.undiff.",NA,NA
"Ruppia",NA,NA
"Rutaceae",NA,NA
"Saggitaria",NA,NA
"Sagittaria",NA,NA
"Salix","Deciduae","Other hardwood"
"Salsola",NA,NA
"Sambucus","Deciduae","Other hardwood"
"Sambucus.1","Deciduae","Other hardwood"
"Sambucus.racemosa","Deciduae","Other hardwood"
"Sambucus.t.","Deciduae","Other hardwood"
"sample.number",NA,NA
"Sanguisorba",NA,NA
"Sanguisorba.canadensis",NA,NA
"Sanguisorba.canadensis.1",NA,NA
"Sapindaceae",NA,NA
"Sarcobatus",NA,NA
"Sarcobatus.vermiculatus",NA,NA
"Sarracenia",NA,NA
"Saxifraceae",NA,NA
"Saxifraga",NA,NA
"Saxifraga.oppositifolia.t.",NA,NA
"Saxifraga.type",NA,NA
