Site,Longitude,Latitude,pre-settlement (sample #),certainty,notes
Eagle Pond,-70.14,41.7,4,2,
Jemima Pond,-69.98,41.83,4,1,
Sandy Hill Pond,-70.36,41.69,10,2,
Fresh Pond,-70.53,41.59,10,2,
Makepeace Cedar Swamp,-70.76,41.94,6,2,
Makepeace Cedar Swamp,-70.76,41.94,7,2,
Makepeace Cedar Swamp,-70.76,41.94,21,3,
Black Gum Swamp,-72.18,42.54,10,1,
Lily Pond,-72.35,42.42,22,2,
Prospect Hill II,-72.18,42.56,7,1,could be much deeper
Prospect Hill VII,-72.18,42.56,10,2,
Slab City,-72.18,42.51,10,2,
Slab City,-72.18,42.51,9,2,
Green Pond,-72.51,42.57,17,2,
Lily Warwick,-72.34,42.69,4,1,could be #2
Little Mirror Lake,-71.61,42.52,4,1,
Otter Pond,-72.53,42.65,2,1,really? Since it is not the top sample….
Silver Lake,-72.23,42.6,3,1,not sure it isn't deeper
Quag Pond,-71.96,42.57,3,3,
Little Bolton,-71.59,42.42,4,2,
Snake Pond,-72.02,42.56,8,2,
Lake Pleasant,-72.51,42.56,,1,I could throw a dart at this one…
Round Pond,-72.71,42.17,,1,I could throw a dart at this one…
Carbuncle Pond,-71.78,41.7,40,2,
Fresh Pond,-71.58,41.16,12,2,
Mashapaug Pond,-71.43,41.78,13,2,
Pasacaco Pond,-71.45,41.52,,1,I think it is deeper
Mohawk Pond,-73.29,41.81,19,2,
Rogers Lake,-72.3,41.35,19,2,
Linsley Pond,-72.78,41.32,9,1,
Big Pond,-78.55,39.77,9,2,
Crider's Pond,-77.55,39.97,3,1,??
Ely Lake,-75.83,41.77,11,1,
First Pond,-75.03,41.14,16,2,
Giles Lake,-75.09,41.38,15,1,
Lake Lacawac,-75.29,41.38,24,1,
Longswamp,-75.67,40.48,38,1,
Panther Run Pond,-77.42,40.8,21,1,
Rose Lake,-77.92,41.92,6,2,
Tannersville Bog,-75.27,41.03,,1,I could throw a dart at this one…
Tannersville Bog,-75.27,41.03,21,1,
Forge Pond,-74.4,40.86,9,1,
Green Pond,-74.5,41.01,3,2,
Helmetta Bog,-74.43,40.38,13,1,
Swartswood Lake,-74.84,41.07,34,1,???
Szabo Pond,-74.48,40.4,17,1,
Woodcliff Lake,-74.03,41.02,20,1,
Lake Grinnell,-74.64,41.1,,,huh?
