Site,Longitude,Latitude,pre-settlement (sample #),certainty  (3=high),
Tom Swamp,-72.21,42.52,7,3,Range: 7-7. Pretty clear.
Donut Pond Bog,-70.06,41.27,8,2,Range: 8-?.  Pegged to Rumex. Settlement horizon may be below core bottom.
Duck Pond,-70,41.93,8,3,Range: 8-8. Pretty clear Ambrosia decline.
Gould's Bog,-72.18,42.53,4,2,Range: 4-4. Modest Ambrosia.
Greenwater Pond,-73.32,42.28,12,3,Range: 11-12. Clear well sampled decline.
Hawley Bog Pond-1,-72.88,42.57,16,2,Range: 11-16.  Two possible places to put the Ambrosia decline.
No Bottom Pond,-70.21,41.28,5,1,Range: 5-?. I don't think they reached bottom (or settlement horizon) on this one...
North Pond,-73.05,42.65,7,3,Range: 5-7. Slight difference between Rumex and Ambrosia.
Stockbridge Bowl,-73.15,42.33,n/a,1,High Ambrosia all the way down.  I don't think this got below settlement horizon.
Taupawshas Bog,-70.06,41.27,3,3,Range: 3-3. Pretty clear Ambrosia signal.
Titicut Swamp,-71.03,41.95,2,3,Range: 2-2.
Windsor Pond,-72.98,42.54,2,2,Range: 2-2. Short and low res core.
Winneconnet Pond,-71.12,41.97,2,1,"Range: 1-6. Weak signals, mainly based on slight declines in trees at top."
Dead Frog Pond,-72.51,42.57,36,3,Range: 36-40.  Well-sampled core.
Hemlock Hollow,-72.18,42.54,16,2,Range: 16-21.  Possibly even lower.  Little blips in Rumex and Ambrosia.
Round Pond,-70.01,41.97,27,2,Range: 17-22.
Deep Pond,-69.99,41.74,29,3,Range: 29-33.  Classic double bump.  
Icehouse Pond,-69.96,41.8,5,3,Range: 5.5. Clear Ambrosia.
Eagle Pond,-70.14,41.7,4,3,Range: 4-4. Clear Ambrosia signal.
Jemima Pond,-69.98,41.83,7,2,Range: 7-14. A lower blip in Ambrosia.
Sandy Hill Pond,-70.36,41.69,12,2,Range: 12-18.  A couple of lower blips.
Fresh Pond,-70.53,41.59,14,2,Range: 10-14.  Tricky.  Could peg to Rumex or Ambrosia.
Makepeace Cedar Swamp,-70.76,41.94,6,3,Range: 6-6.   
Makepeace Cedar Swamp,-70.76,41.94,8,2,Range: 8-15. Could peg to Ambrosia or Poaceae.
Makepeace Cedar Swamp,-70.76,41.94,25,3,Range: 21-25. Beautiful record.
Black Gum Swamp,-72.18,42.54,16,2,Range: 16-20. Some lower blips.
Lily Pond,-72.35,42.42,18,2,Range: 18-23.  A lower blip and gradual decline in Ambrosia
Prospect Hill II,-72.18,42.56,20,2,Range: 20-25.  Lower blips
Prospect Hill VII,-72.18,42.56,10,3,Range:10-10. Rumex pretty definitive.
Slab City,-72.18,42.51,15,2,Range: 15-20.  Could key into Rumex or Ambrosia.
Slab City,-72.18,42.51,9,2,Range: 9-12
Green Pond,-72.51,42.57,17,2,Range: 17-37.  Lots of little blips below the big rise.
Lily Warwick,-72.34,42.69,4,3,Range: 4-4. Low res = high certainty.
Little Mirror Lake,-71.61,42.52,7,2,Range: 4-10. low res and blippy
Otter Pond,-72.53,42.65,n/a,1,a 2-sample core.  probably above settlement horizon
Silver Lake,-72.23,42.6,n/a,1,a 3-sample core.  probably above settlement horizon
Quag Pond,-71.96,42.57,3,3,Range: 3-4.
Little Bolton,-71.59,42.42,5,3,Range: 5-?. Long tail to AMbrosia.  possible that settlement horizon is below lowermost sample.
Snake Pond,-72.02,42.56,8,2,Range: 2-11
Lake Pleasant,-72.51,42.56,3,3,Range: 3-3. 
Round Pond,-72.71,42.17,n/a,1,No sign of a settlement horizon here.  Low res short core.
Carbuncle Pond,-71.78,41.7,40,3,Range: 40-43.  Someone went to town on the post-settlement period!
Fresh Pond,-71.58,41.16,24,1,Range: 12-24.  weird gap in Ambrosia while Rumex stays high.
Mashapaug Pond,-71.43,41.78,15,3,Range: 13-15
Pasacaco Pond,-71.45,41.52,n/a,1,Pretty sure this core doesn't reach settlement horizon
Mohawk Pond,-73.29,41.81,n/a,1,"Range: 19-?.   I think this core doesn't include settlement horizon, but possibly at sample 19."
Rogers Lake,-72.3,41.35,19,3,Range: 19-19. Good agreement between Rumex and Ambrosia.
Linsley Pond,-72.78,41.32,24,2,Range: 13-24.
Big Pond,-78.55,39.77,13,3,"Range: 11-13. Good Rumex, Ambrosia signal."
Crider's Pond,-77.55,39.97,7,2,Range: 4-8.
Ely Lake,-75.83,41.77,11,1,Range: 11-?. Really ambiguous decline to Ambrosia. Possibly settlement horizon is below core base.
First Pond,-75.03,41.14,35,1,Range: 16-53.  Ambrosia and Rumex just slowly tail away…
Giles Lake,-75.09,41.38,28,1,Range: 17-50. Another long slow decline.  I pegged this one to just before hemlock starts to decline.
Lake Lacawac,-75.29,41.38,36,2,Range: 25-36.
Longswamp,-75.67,40.48,52,2,"Range: 39-?.  Beautiful high res sampling, and a complex decline.  Pegged to Ambrosia going to zero."
Panther Run Pond,-77.42,40.8,24,2,Range: 24-45.  Another big rise then long tail.
Rose Lake,-77.92,41.92,6,3,Range: 6-8. Pretty clear
Tannersville Bog,-75.27,41.03,n/a,1,Pretty sure this core doesn't reach settlement horizon
Tannersville Bog,-75.27,41.03,38,2,Range: 38-52.
Forge Pond,-74.4,40.86,13,2,Range: 13-17. Pegging to Rumex
Green Pond,-74.5,41.01,3,2,Range: 2-7
Helmetta Bog,-74.43,40.38,23,2,Range: 23-29
Swartswood Lake,-74.84,41.07,35,1,"Range: 35-?.  Really gradual rise, could be placed anywhere, inclduing below core base."
Szabo Pond,-74.48,40.4,22,2,Range: 17-31
Woodcliff Lake,-74.03,41.02,33,2,Range: 20-?
Lake Grinnell,-74.64,41.1,n/a,1,2-sample core.  Discard.
